ID1,Provincia,Sector,Ámbito,_12,_13y14
20004002000400,Mendoza,Estatal,Urbano,,
20008002000800,Mendoza,Privado,Urbano,,
21604002160400,Misiones,Estatal,Urbano,,
26404002640400,Salta,Estatal,Rural,,
28004002800400,San Juan,Estatal,Urbano,,
32804003280400,Santa Fe,Estatal,Rural,,
32808003280800,Santa Fe,Estatal,Rural,,
32812003281200,Santa Fe,Estatal,Urbano,,
32816003281600,Santa Fe,Estatal,Urbano,,
34404003440400,Santiago del Estero,Estatal,Rural,,
34408003440800,Santiago del Estero,Estatal,Urbano,,
36004003600400,Tucumán,Estatal,Urbano,,
36008003600800,Tucumán,Estatal,Urbano,80,
100000200100000,Mendoza,Privado,Urbano,,
100000883670601,Santa Fe,Estatal,Rural,,
100000900010000,Catamarca,Estatal,Rural,,
100010109000100,Catamarca,Estatal,Rural,,
100020209000100,Catamarca,Estatal,Urbano,,
100021283670601,Santa Fe,Estatal,Rural,,
100022000010002,Catamarca,Privado,Urbano,,
100031483670601,Santa Fe,Estatal,Urbano,,
100033000010003,Catamarca,Estatal,Rural,,
100044000010004,Catamarca,Estatal,Rural,,
100055000010005,Catamarca,Estatal,Rural,,
100055200010005,Ciudad de Buenos Aires,Privado,Urbano,,
100080809000100,Catamarca,Estatal,Urbano,,
100080809010100,Catamarca,Estatal,Urbano,,
100080809020100,Catamarca,Estatal,Rural,,
100080809030100,Catamarca,Estatal,Rural,,
100080809040100,Catamarca,Estatal,Rural,,
100080809050100,Catamarca,Estatal,Rural,,
100080809060100,Catamarca,Estatal,Rural,,
100080809070100,Catamarca,Estatal,Rural,,
100080809080100,Catamarca,Estatal,Rural,,
100080809090100,Catamarca,Estatal,Rural,,
100080809100100,Catamarca,Estatal,Rural,,
100080809110100,Catamarca,Estatal,Rural,,
100080809120100,Catamarca,Estatal,Rural,,
100080809130100,Catamarca,Estatal,Rural,,
100090909000100,Catamarca,Estatal,Rural,16,
100151520001001,Ciudad de Buenos Aires,Estatal,Urbano,,
100170011346931,Corrientes,Estatal,Rural,,
100170012606310,Ciudad de Buenos Aires,Estatal,Urbano,59,
100170013860631,Chaco,Estatal,Rural,,
100170013866931,Chaco,Estatal,Urbano,,
100170018906931,Entre Ríos,Privado,Urbano,,
100170018919531,Entre Ríos,Privado,Urbano,,
100170021426931,Formosa,Estatal,Rural,,
100170023940631,Jujuy,Estatal,Rural,,
100170028980631,La Rioja,Estatal,Urbano,36,
100170031500631,Mendoza,Estatal,Urbano,,
100170031506931,Mendoza,Estatal,Urbano,59,46
100170031513231,Mendoza,Privado,Rural,,
100170034020631,Misiones,Estatal,Urbano,,
100170036540631,Neuquén,Estatal,Rural,,
100170037806310,Buenos Aires,Estatal,Urbano,,
100170037869310,Buenos Aires,Estatal,Rural,,
100170037932310,Buenos Aires,Estatal,Urbano,,
100170037995310,Buenos Aires,Estatal,Urbano,,
100170038058310,Buenos Aires,Estatal,Rural,,
100170038121310,Buenos Aires,Privado,Urbano,,
100170038184310,Buenos Aires,Estatal,Urbano,78,
100170038247310,Buenos Aires,Privado,Urbano,117,
100170038436310,Buenos Aires,Estatal,Urbano,,
100170038499310,Buenos Aires,Estatal,Urbano,,
100170038877310,Buenos Aires,Estatal,Rural,,
100170038940310,Buenos Aires,Estatal,Urbano,17,
100170039003310,Buenos Aires,Privado,Urbano,23,
100170039060631,Río Negro,Estatal,Urbano,,
100170039066310,Buenos Aires,Privado,Urbano,,
100170039129310,Buenos Aires,Estatal,Urbano,,
100170039192310,Buenos Aires,Estatal,Rural,,
100170041586931,Salta,Privado,Urbano,130,
100170044100631,San Juan,Estatal,Urbano,,
100170049140631,Santa Cruz,Privado,Urbano,,
100170051673231,Santa Fe,Estatal,Urbano,104,105
100170051679531,Santa Fe,Estatal,Urbano,,
100170051685831,Santa Fe,Privado,Urbano,,
100170054180631,Santiago del Estero,Estatal,Rural,,
100170054186931,Santiago del Estero,Estatal,Rural,,
100170054193231,Santiago del Estero,Estatal,Urbano,,
100170056700631,Tucumán,Estatal,Rural,,
100170056713231,Tucumán,Privado,Urbano,,
100170059220631,Tierra del Fuego,Estatal,Urbano,61,13
100170063006310,Catamarca,Estatal,Rural,,
100170088206310,Córdoba,Estatal,Urbano,,
100170088269310,Córdoba,Estatal,Rural,,
100170088332310,Córdoba,Estatal,Rural,,
100170088395310,Córdoba,Privado,Urbano,31,
100170088458310,Córdoba,Privado,Urbano,,
100170088521310,Córdoba,Estatal,Urbano,,
100176321426931,Formosa,Estatal,Rural,,
100182621426931,Formosa,Estatal,Rural,,
100182651679531,Santa Fe,Estatal,Urbano,,
100202020001002,Ciudad de Buenos Aires,Estatal,Urbano,,
100252520001002,Ciudad de Buenos Aires,Estatal,Urbano,,
100353520001003,Ciudad de Buenos Aires,Privado,Urbano,,
100454520001004,Ciudad de Buenos Aires,Privado,Urbano,63,
100500250060100,Mendoza,Estatal,Urbano,,
100500250110100,Mendoza,Privado,Urbano,,
100500270010100,Misiones,Estatal,Rural,,
100500290010100,Neuquén,Estatal,Rural,,
100500310010100,Río Negro,Estatal,Urbano,66,
100500330010100,Salta,Estatal,Rural,,
100500330060100,Salta,Estatal,Urbano,,
100500350010100,San Juan,Estatal,Rural,33,
100500390010100,Santa Cruz,Estatal,Urbano,,
100500410060100,Santa Fe,Estatal,Rural,,
100500410110100,Santa Fe,Estatal,Urbano,,
100500410210100,Santa Fe,Privado,Urbano,,
100500430010100,Santiago del Estero,Estatal,Urbano,,
100500430060100,Santiago del Estero,Estatal,Urbano,,
100500450010100,Tucumán,Estatal,Rural,,
100500450110100,Tucumán,Privado,Urbano,,
100500470010100,Tierra del Fuego,Estatal,Urbano,,
100502000100502,Ciudad de Buenos Aires,Privado,Urbano,52,
100505270010100,Misiones,Estatal,Urbano,,
100555200010055,Ciudad de Buenos Aires,Estatal,Urbano,,
100601020001006,Ciudad de Buenos Aires,Privado,Urbano,18,
100651520001006,Ciudad de Buenos Aires,Privado,Urbano,26,
100697001414909,Córdoba,Estatal,Urbano,,
100697001415919,Córdoba,Estatal,Urbano,,
100697001416929,Córdoba,Estatal,Urbano,91,
100697001418949,Córdoba,Privado,Urbano,,
100697001818909,Corrientes,Estatal,Urbano,13,25
100697002029091,Ciudad de Buenos Aires,Estatal,Urbano,75,
100697002049291,Ciudad de Buenos Aires,Privado,Urbano,,
100697002222909,Chaco,Estatal,Rural,,
100697003030909,Entre Ríos,Estatal,Rural,,
100697003032929,Entre Ríos,Estatal,Rural,14,
100697003838909,Jujuy,Privado,Rural,,
100697005050909,Mendoza,Estatal,Urbano,,
100697005454909,Misiones,Privado,Urbano,,
100697006069091,Buenos Aires,Estatal,Urbano,,
100697006079191,Buenos Aires,Estatal,Urbano,,
100697006089291,Buenos Aires,Estatal,Rural,,
100697006109491,Buenos Aires,Estatal,Urbano,,
100697006119591,Buenos Aires,Estatal,Urbano,,
100697006129691,Buenos Aires,Privado,Urbano,,
100697006139791,Buenos Aires,Estatal,Urbano,,
100697006149891,Buenos Aires,Privado,Urbano,,
100697006159991,Buenos Aires,Estatal,Urbano,21,
100697006180191,Buenos Aires,Estatal,Urbano,,
100697006220591,Buenos Aires,Estatal,Urbano,,
100697006240791,Buenos Aires,Estatal,Urbano,27,
100697006250891,Buenos Aires,Estatal,Urbano,,
100697006260991,Buenos Aires,Privado,Urbano,45,
100697006262909,Río Negro,Estatal,Urbano,,
100697006271091,Buenos Aires,Privado,Urbano,,
100697006666909,Salta,Estatal,Urbano,154,
100697007070909,San Juan,Estatal,Urbano,,
100697008282909,Santa Fe,Estatal,Rural,,
100697008283919,Santa Fe,Estatal,Urbano,,
100697008284929,Santa Fe,Estatal,Rural,,
100697008285939,Santa Fe,Estatal,Urbano,,
100697008686909,Santiago del Estero,Estatal,Rural,,
100697008687919,Santiago del Estero,Estatal,Rural,,
100697009090909,Tucumán,Estatal,Rural,24,25
100697009091919,Tucumán,Estatal,Urbano,19,
100698011415919,Córdoba,Estatal,Rural,,
100698013032929,Entre Ríos,Estatal,Rural,,
100698017070909,San Juan,Estatal,Urbano,,
100699027070909,San Juan,Estatal,Urbano,,
100700037070909,San Juan,Estatal,Urbano,,
100702020001007,Ciudad de Buenos Aires,Privado,Urbano,37,
100752520001007,Ciudad de Buenos Aires,Privado,Urbano,62,
100800011040961,La Rioja,Estatal,Rural,,
100800012000961,Mendoza,Estatal,Rural,,
100800012005761,Mendoza,Estatal,Urbano,13,
100800012960961,Misiones,Estatal,Rural,,
100800012963361,Misiones,Estatal,Urbano,,
100800013920961,Neuquén,Estatal,Urbano,,
100800014433610,Buenos Aires,Estatal,Rural,,
100800014457610,Buenos Aires,Estatal,Urbano,,
100800014481610,Buenos Aires,Estatal,Urbano,,
100800014505610,Buenos Aires,Estatal,Urbano,,
100800014577610,Buenos Aires,Estatal,Urbano,,
100800014601610,Buenos Aires,Estatal,Urbano,149,
100800014625610,Buenos Aires,Estatal,Rural,,
100800014649610,Buenos Aires,Estatal,Urbano,,
100800014673610,Buenos Aires,Estatal,Urbano,,
100800014697610,Buenos Aires,Privado,Urbano,,
100800014721610,Buenos Aires,Privado,Urbano,,
100800014817610,Buenos Aires,Estatal,Rural,24,
100800014841610,Buenos Aires,Privado,Urbano,,
100800014865610,Buenos Aires,Privado,Urbano,54,
100800014880961,Río Negro,Estatal,Rural,,
100800014889610,Buenos Aires,Estatal,Rural,7,
100800014913610,Buenos Aires,Estatal,Rural,,
100800014937610,Buenos Aires,Estatal,Rural,,
100800014961610,Buenos Aires,Privado,Urbano,,
100800015840961,Salta,Estatal,Urbano,,
100800016800961,San Juan,Estatal,Urbano,,
100800019680961,Santa Fe,Estatal,Rural,,
100800019683361,Santa Fe,Estatal,Urbano,,
100800020640961,Santiago del Estero,Estatal,Rural,,
100800020643361,Santiago del Estero,Estatal,Rural,,
100800024009610,Catamarca,Estatal,Urbano,,
100800033609610,Córdoba,Estatal,Urbano,,
100800033657610,Córdoba,Estatal,Urbano,,
100800033681610,Córdoba,Privado,Urbano,58,
100800033705610,Córdoba,Privado,Urbano,25,
100800033729610,Córdoba,Estatal,Rural,16,
100800043209610,Corrientes,Estatal,Urbano,,
100800043233610,Corrientes,Estatal,Urbano,,
100800048096100,Ciudad de Buenos Aires,Privado,Urbano,70,
100800048336100,Ciudad de Buenos Aires,Privado,Urbano,,
100800052809610,Chaco,Privado,Urbano,,
100800052857610,Chaco,Estatal,Urbano,52,
100800062409610,Chubut,Estatal,Rural,,
100800072009610,Entre Ríos,Estatal,Rural,,
100800072081610,Entre Ríos,Privado,Urbano,,
100800081609610,Formosa,Estatal,Urbano,,
100800091209610,Jujuy,Estatal,Urbano,,
100802433729610,Córdoba,Estatal,Rural,11,
100802443233610,Corrientes,Estatal,Rural,,
101101020001011,Ciudad de Buenos Aires,Estatal,Urbano,,
101252520001012,Ciudad de Buenos Aires,Estatal,Urbano,41,
101370010540931,Formosa,Estatal,Rural,,
101370011780931,Jujuy,Estatal,Rural,,
101370013020931,La Pampa,Estatal,Urbano,,
101370014260931,La Rioja,Estatal,Rural,,
101370015500931,Mendoza,Estatal,Rural,,
101370015507131,Mendoza,Privado,Urbano,,
101370016740931,Misiones,Estatal,Urbano,,
101370016744031,Misiones,Estatal,Urbano,14,
101370017980931,Neuquén,Estatal,Rural,,
101370018609310,Buenos Aires,Estatal,Rural,,
101370018640310,Buenos Aires,Privado,Urbano,,
101370018671310,Buenos Aires,Estatal,Rural,,
101370018702310,Buenos Aires,Privado,Urbano,,
101370018733310,Buenos Aires,Estatal,Urbano,,
101370018826310,Buenos Aires,Estatal,Urbano,24,
101370018857310,Buenos Aires,Estatal,Urbano,,
101370018888310,Buenos Aires,Estatal,Urbano,,
101370018919310,Buenos Aires,Estatal,Urbano,46,
101370018950310,Buenos Aires,Privado,Urbano,,
101370019043310,Buenos Aires,Estatal,Urbano,,
101370019074310,Buenos Aires,Privado,Urbano,,
