,establecimiento,Provincia,Sector,Ámbito,Matricula__12_total,Matricula__13y14_total,matricula_5to_6to,bajo,medio,alto,NSE,%_bajo,%_medio,%_alto,total_censados,isocioa_puntaje,tasa_no_respuesta
0,100170088395310,Córdoba,Privado,Urbano,31.0,,31.0,5.0,23.0,1.0,medio,0.1724137931034483,0.7931034482758621,0.034482758620689655,29.0,-0.22234276963122637,0.9354838709677419
1,100697001416929,Córdoba,Estatal,Urbano,91.0,,91.0,14.0,31.0,7.0,medio,0.2692307692307692,0.5961538461538461,0.1346153846153846,52.0,-0.32256172634542674,0.5714285714285714
2,100800033681610,Córdoba,Privado,Urbano,58.0,,58.0,0.0,31.0,22.0,medio,0.0,0.5849056603773585,0.41509433962264153,53.0,0.8830212024771635,0.9137931034482759
3,100800033705610,Córdoba,Privado,Urbano,25.0,,25.0,0.0,11.0,11.0,medio,0.0,0.5,0.5,22.0,0.7537515058317236,0.88
4,102770060337610,Córdoba,Estatal,Urbano,175.0,,175.0,23.0,97.0,26.0,medio,0.15753424657534246,0.6643835616438356,0.1780821917808219,146.0,0.026905738948114075,0.8342857142857143
5,102897001444987,Córdoba,Estatal,Urbano,96.0,29.0,125.0,14.0,62.0,6.0,medio,0.17073170731707318,0.7560975609756098,0.07317073170731707,82.0,-0.291014715742306,0.656
6,103200028110010,Córdoba,Estatal,Urbano,9.0,6.0,15.0,,,,medio,0.1364636607638483,0.6365553378704201,0.22698100136573227,,0.6328526629960484,
7,105250035110010,Córdoba,Privado,Urbano,31.0,,31.0,1.0,15.0,4.0,medio,0.05,0.75,0.2,20.0,0.38246215182070686,0.6451612903225806
8,105250035135010,Córdoba,Privado,Urbano,17.0,,17.0,2.0,11.0,4.0,medio,0.11764705882352941,0.6470588235294118,0.23529411764705882,17.0,0.19807975187440993,1.0
9,105600061828810,Córdoba,Privado,Urbano,31.0,,31.0,0.0,20.0,11.0,medio,0.0,0.6451612903225806,0.3548387096774194,31.0,0.5209432204065488,1.0
10,106650021040510,Córdoba,Privado,Urbano,128.0,,128.0,2.0,81.0,28.0,medio,0.018018018018018018,0.7297297297297297,0.25225225225225223,111.0,0.4139610171181899,0.8671875
11,108500491400108,Córdoba,Estatal,Urbano,149.0,,149.0,19.0,89.0,11.0,medio,0.15966386554621848,0.7478991596638656,0.09243697478991597,119.0,-0.18572063495709995,0.7986577181208053
12,108570029410510,Córdoba,Estatal,Urbano,61.0,,61.0,6.0,37.0,10.0,medio,0.11320754716981132,0.6981132075471698,0.18867924528301888,53.0,0.050225955223702344,0.8688524590163934
13,108570046341910,Córdoba,Privado,Urbano,10.0,,10.0,,,,medio,0.1364636607638483,0.6365553378704201,0.22698100136573227,,0.6328526629960484,
14,109720036410410,Córdoba,Privado,Urbano,32.0,,32.0,1.0,22.0,6.0,medio,0.034482758620689655,0.7586206896551724,0.20689655172413793,29.0,0.2822835944744082,0.90625
15,109720036488410,Córdoba,Privado,Urbano,83.0,81.0,164.0,0.0,25.0,47.0,alto,0.0,0.3472222222222222,0.6527777777777778,72.0,1.185561208267936,0.43902439024390244
16,109720036514410,Córdoba,Privado,Urbano,46.0,,46.0,2.0,14.0,27.0,alto,0.046511627906976744,0.32558139534883723,0.627906976744186,43.0,0.9616991061555739,0.9347826086956522
17,112072725600112,Córdoba,Privado,Urbano,24.0,18.0,42.0,3.0,15.0,4.0,medio,0.13636363636363635,0.6818181818181818,0.18181818181818182,22.0,0.09052181206390898,0.5238095238095238
18,112088856001120,Córdoba,Privado,Urbano,67.0,,67.0,2.0,33.0,28.0,medio,0.031746031746031744,0.5238095238095238,0.4444444444444444,63.0,0.7464028792069215,0.9402985074626866
19,112200047712211,Córdoba,Privado,Urbano,30.0,,30.0,4.0,20.0,6.0,medio,0.13333333333333333,0.6666666666666666,0.2,30.0,0.3335630213266247,1.0
20,112256165600112,Córdoba,Estatal,Urbano,14.0,17.0,31.0,3.0,6.0,1.0,medio,0.3,0.6,0.1,10.0,-0.6719894367040578,0.3225806451612903
21,112320560011232,Córdoba,Estatal,Urbano,48.0,6.0,54.0,8.0,34.0,6.0,medio,0.16666666666666666,0.7083333333333334,0.125,48.0,-0.20839480899187054,0.8888888888888888
22,112352325600112,Córdoba,Privado,Urbano,26.0,,26.0,0.0,8.0,13.0,alto,0.0,0.38095238095238093,0.6190476190476191,21.0,1.019496713768192,0.8076923076923077
23,113960030811011,Córdoba,Estatal,Urbano,51.0,,51.0,5.0,41.0,4.0,medio,0.1,0.82,0.08,50.0,-0.1899495748445946,0.9803921568627451
24,114210037918811,Córdoba,Privado,Urbano,64.0,,64.0,1.0,36.0,23.0,medio,0.016666666666666666,0.6,0.38333333333333336,60.0,0.6759022405550713,0.9375
25,114210037945811,Córdoba,Estatal,Urbano,14.0,,14.0,7.0,3.0,0.0,bajo,0.7,0.3,0.0,10.0,-1.2213556815143396,0.7142857142857143
26,114210065903411,Córdoba,Privado,Urbano,54.0,33.0,87.0,1.0,31.0,14.0,medio,0.021739130434782608,0.6739130434782609,0.30434782608695654,46.0,0.5224799149884644,0.5287356321839081
27,115200504720115,Córdoba,Estatal,Urbano,16.0,9.0,25.0,5.0,11.0,0.0,medio,0.3125,0.6875,0.0,16.0,-0.45655581697000813,0.64
28,116850026630411,Córdoba,Estatal,Urbano,19.0,8.0,27.0,1.0,7.0,3.0,medio,0.09090909090909091,0.6363636363636364,0.2727272727272727,11.0,-0.02520172805058102,0.4074074074074074
29,117120067305611,Córdoba,Privado,Urbano,32.0,,32.0,1.0,21.0,5.0,medio,0.037037037037037035,0.7777777777777778,0.18518518518518517,27.0,0.08587091076129097,0.84375
30,118570099549111,Córdoba,Privado,Urbano,44.0,,44.0,0.0,18.0,26.0,alto,0.0,0.4090909090909091,0.5909090909090909,44.0,1.0566206092587813,1.0
31,118720039267211,Córdoba,Estatal,Urbano,36.0,11.0,47.0,12.0,14.0,0.0,medio,0.46153846153846156,0.5384615384615384,0.0,26.0,-0.7965273543238275,0.5531914893617021
32,119370032257511,Córdoba,Privado,Urbano,73.0,,73.0,1.0,46.0,23.0,medio,0.014285714285714285,0.6571428571428571,0.32857142857142857,70.0,0.6112118828374578,0.958904109589041
33,119370032280511,Córdoba,Estatal,Urbano,49.0,38.0,87.0,3.0,28.0,13.0,medio,0.06818181818181818,0.6363636363636364,0.29545454545454547,44.0,0.2401927312558964,0.5057471264367817
34,119520050554811,Córdoba,Privado,Urbano,17.0,,17.0,0.0,6.0,13.0,alto,0.0,0.3157894736842105,0.6842105263157895,19.0,1.1848850519426752,1.1176470588235294
35,121210023845912,Córdoba,Estatal,Urbano,41.0,,41.0,4.0,22.0,1.0,medio,0.14814814814814814,0.8148148148148148,0.037037037037037035,27.0,-0.6637819121917027,0.6585365853658537
36,122100519850122,Córdoba,Estatal,Urbano,54.0,,54.0,9.0,30.0,2.0,medio,0.21951219512195122,0.7317073170731707,0.04878048780487805,41.0,-0.37988368849032095,0.7592592592592593
37,123000070110012,Córdoba,Privado,Urbano,69.0,,69.0,1.0,36.0,20.0,medio,0.017543859649122806,0.631578947368421,0.3508771929824561,57.0,0.6385984577203646,0.8260869565217391
38,123200028052012,Córdoba,Privado,Urbano,10.0,,10.0,1.0,6.0,3.0,medio,0.1,0.6,0.3,10.0,0.17937560917931558,1.0
39,123210051885112,Córdoba,Privado,Urbano,56.0,,56.0,1.0,38.0,10.0,medio,0.02040816326530612,0.7755102040816326,0.20408163265306123,49.0,0.4576288812249818,0.875
40,123370010220731,Córdoba,Privado,Urbano,87.0,,87.0,2.0,45.0,30.0,medio,0.025974025974025976,0.5844155844155844,0.38961038961038963,77.0,0.7042841495501679,0.8850574712643678
41,124800033660012,Córdoba,Estatal,Urbano,33.0,30.0,63.0,11.0,5.0,0.0,bajo,0.6875,0.3125,0.0,16.0,-1.0735002810459437,0.25396825396825395
42,126081817200126,Córdoba,Privado,Urbano,63.0,,63.0,1.0,53.0,4.0,medio,0.017241379310344827,0.9137931034482759,0.06896551724137931,58.0,0.21040066142402428,0.9206349206349206
43,126090720012609,Córdoba,Privado,Urbano,40.0,,40.0,1.0,27.0,12.0,medio,0.025,0.675,0.3,40.0,0.3726820447488623,1.0
44,126225457200126,Córdoba,Privado,Urbano,104.0,,104.0,0.0,58.0,37.0,medio,0.0,0.6105263157894737,0.3894736842105263,95.0,0.7279764108068355,0.9134615384615384
45,126243637200126,Córdoba,Privado,Urbano,85.0,,85.0,1.0,26.0,51.0,alto,0.01282051282051282,0.3333333333333333,0.6538461538461539,78.0,1.0549931080332071,0.9176470588235294
46,126297277200126,Córdoba,Privado,Urbano,53.0,,53.0,1.0,37.0,12.0,medio,0.02,0.74,0.24,50.0,0.23632426150902267,0.9433962264150944
47,126396367200126,Córdoba,Privado,Urbano,35.0,,35.0,3.0,23.0,6.0,medio,0.09375,0.71875,0.1875,32.0,0.19687058503143873,0.9142857142857143
48,126486367200126,Córdoba,Estatal,Urbano,37.0,20.0,57.0,7.0,17.0,0.0,medio,0.2916666666666667,0.7083333333333334,0.0,24.0,-0.8649992350828061,0.42105263157894735
49,128520025248612,Córdoba,Estatal,Urbano,52.0,,52.0,11.0,21.0,2.0,medio,0.3235294117647059,0.6176470588235294,0.058823529411764705,34.0,-0.6098629801484681,0.6538461538461539
50,129200533900129,Córdoba,Estatal,Urbano,24.0,,24.0,5.0,13.0,4.0,medio,0.22727272727272727,0.5909090909090909,0.18181818181818182,22.0,-0.12280399122397237,0.9166666666666666
51,129570029412612,Córdoba,Privado,Urbano,74.0,,74.0,0.0,42.0,27.0,medio,0.0,0.6086956521739131,0.391304347826087,69.0,0.7095755450034981,0.9324324324324325
52,130250035087513,Córdoba,Estatal,Urbano,60.0,,60.0,5.0,39.0,10.0,medio,0.09259259259259259,0.7222222222222222,0.18518518518518517,54.0,0.07473964923594914,0.9
53,134400056052013,Córdoba,Estatal,Urbano,104.0,,104.0,3.0,67.0,26.0,medio,0.03125,0.6979166666666666,0.2708333333333333,96.0,0.3261303574485189,0.9230769230769231
54,135720010944181,Córdoba,Estatal,Urbano,46.0,,46.0,12.0,29.0,2.0,medio,0.27906976744186046,0.6744186046511628,0.046511627906976744,43.0,-0.612685646839746,0.9347826086956522
55,135960030857213,Córdoba,Privado,Urbano,25.0,,25.0,0.0,12.0,13.0,alto,0.0,0.48,0.52,25.0,0.8460575811211095,1.0
56,136500547170136,Córdoba,Privado,Urbano,44.0,,44.0,0.0,8.0,33.0,alto,0.0,0.1951219512195122,0.8048780487804879,41.0,1.2982102943952836,0.9318181818181818
57,136500547950136,Córdoba,Estatal,Urbano,20.0,14.0,34.0,5.0,10.0,0.0,medio,0.3333333333333333,0.6666666666666666,0.0,15.0,-0.4781882750630643,0.4411764705882353
58,136650021028513,Córdoba,Estatal,Urbano,37.0,22.0,59.0,4.0,24.0,7.0,medio,0.11428571428571428,0.6857142857142857,0.2,35.0,0.19721929065706545,0.5932203389830508
59,136650021043513,Córdoba,Estatal,Urbano,113.0,,113.0,10.0,67.0,17.0,medio,0.10638297872340426,0.7127659574468085,0.18085106382978725,94.0,0.1612646960299687,0.831858407079646
60,136650021058513,Córdoba,Privado,Urbano,49.0,,49.0,0.0,11.0,36.0,alto,0.0,0.23404255319148937,0.7659574468085106,47.0,1.3297340368259079,0.9591836734693877
61,136960044876813,Córdoba,Estatal,Urbano,104.0,,104.0,19.0,48.0,17.0,medio,0.2261904761904762,0.5714285714285714,0.20238095238095238,84.0,-0.16397409623905476,0.8076923076923077
62,138170057535313,Córdoba,Estatal,Urbano,149.0,,149.0,17.0,69.0,11.0,medio,0.17525773195876287,0.711340206185567,0.1134020618556701,97.0,-0.1446075735077671,0.6510067114093959
63,140122000014012,Córdoba,Estatal,Urbano,63.0,29.0,92.0,5.0,44.0,9.0,medio,0.08620689655172414,0.7586206896551724,0.15517241379310345,58.0,0.06898469789234242,0.6304347826086957
64,140144000014014,Córdoba,Privado,Urbano,43.0,,43.0,3.0,35.0,3.0,medio,0.07317073170731707,0.8536585365853658,0.07317073170731707,41.0,0.05673203503537405,0.9534883720930233
65,140144000214014,Córdoba,Privado,Urbano,10.0,,10.0,3.0,5.0,0.0,medio,0.375,0.625,0.0,8.0,-0.7900772686896568,0.8
66,140250509000140,Córdoba,Privado,Urbano,21.0,,21.0,2.0,10.0,8.0,medio,0.1,0.5,0.4,20.0,0.6399253182599335,0.9523809523809523
67,140290909000140,Córdoba,Privado,Urbano,40.0,,40.0,4.0,25.0,9.0,medio,0.10526315789473684,0.6578947368421053,0.23684210526315788,38.0,0.17840244271810674,0.95
68,140299000014029,Córdoba,Privado,Urbano,57.0,19.0,76.0,0.0,29.0,25.0,medio,0.0,0.5370370370370371,0.46296296296296297,54.0,0.8724977427607142,0.7105263157894737
69,140311000014031,Córdoba,Estatal,Urbano,31.0,,31.0,9.0,16.0,1.0,medio,0.34615384615384615,0.6153846153846154,0.038461538461538464,26.0,-0.544399069155076,0.8387096774193549
70,140390909000140,Córdoba,Privado,Urbano,45.0,,45.0,3.0,34.0,5.0,medio,0.07142857142857142,0.8095238095238095,0.11904761904761904,42.0,0.023985354613275153,0.9333333333333333
71,140430309000140,Córdoba,Estatal,Urbano,39.0,26.0,65.0,6.0,23.0,2.0,medio,0.1935483870967742,0.7419354838709677,0.06451612903225806,31.0,-0.2650679056827694,0.47692307692307695
72,140533000014053,Córdoba,Estatal,Urbano,30.0,,30.0,13.0,12.0,0.0,bajo,0.52,0.48,0.0,25.0,-0.9328032029651675,0.8333333333333334
73,141210037867514,Córdoba,Privado,Urbano,26.0,,26.0,0.0,8.0,6.0,medio,0.0,0.5714285714285714,0.42857142857142855,14.0,0.6401163639040457,0.5384615384615384
74,141960058938614,Córdoba,Estatal,Urbano,258.0,,258.0,13.0,160.0,41.0,medio,0.06074766355140187,0.7476635514018691,0.19158878504672897,214.0,0.2102441954868466,0.8294573643410853
75,141960058980614,Córdoba,Privado,Urbano,18.0,,18.0,0.0,6.0,11.0,alto,0.0,0.35294117647058826,0.6470588235294118,17.0,1.1553283565362236,0.9444444444444444
76,141960059022614,Córdoba,Estatal,Urbano,16.0,24.0,40.0,4.0,5.0,1.0,medio,0.4,0.5,0.1,10.0,-0.79071700010709,0.25
77,142370032259814,Córdoba,Privado,Urbano,62.0,,62.0,0.0,30.0,25.0,medio,0.0,0.5454545454545454,0.45454545454545453,55.0,0.7656122317660496,0.8870967741935484
