Id_Alumne,asiste_univ
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,0
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,0
484,0
485,0
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,1
605,0
606,0
607,0
608,1
609,0
610,1
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,1
637,0
638,1
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,0
758,0
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,1
777,1
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,0
819,0
820,1
821,1
822,1
823,1
824,1
825,0
826,0
827,1
828,1
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,0
839,0
840,0
841,1
