Orden,id1,Matrícula 2019,N irá a universidad,N NO irá a universidad,N NS si irá a universidad,No responde
1,164920053291216,8,,,,
2,183960059026818,5,,,,
3,193200644920193,8,,,,
4,258210079822825,9,,,,
5,268255840684126,5,,,,
6,364650091357536,6,,,,
7,808605490770808,5,,,,
8,819216224720819,4,,,,
9,921298137494092,9,,,,
10,985069813888719,9,,,,
11,711960014306527,11,,,,
12,114210037945811,14,,,,
13,273570046325427,17,,,,
14,461770085686746,19,,,,
15,115200504720115,25,,,,
16,843363630008433,26,,,,
17,140533000014053,30,,,,
18,397570011656523,32,,,,
19,342370010252123,34,,,,
20,472320013453444,36,,,,
21,369720010954323,38,,,,
22,472320013463044,41,,,,
23,756500124956075,43,,,,
24,963210013608139,45,,,,
25,260570099634326,48,,,,
26,429210080067942,50,,,,
27,277800042117027,52,,,,
28,291200784000291,54,,,,
29,154429100100015,57,,,,
30,288024336744288,59,,,,
31,181250040646418,62,,,,
32,232000280620232,65,,,,
33,217770085540321,68,,,,
34,253120078534425,73,,,,
35,710370011354587,76,,,,
36,872100238765872,79,,,,
37,480960010084324,84,,,,
38,169050068712716,91,,,,
39,188770060346218,99,,,,
40,665850096800166,109,,,,
41,179520095485617,123,,,,
42,699600308726699,140,,,,
43,102770060337610,175,,,,
44,108570046341910,10,,,,
45,527400012640505,16,,,,
46,749700715581749,19,,,,
47,405120067334440,22,,,,
48,386120013742543,24,,,,
49,112352325600112,26,,,,
50,280501002002805,27,,,,
51,306570046295730,29,,,,
52,944000562080944,29,,,,
53,105250035110010,31,,,,
54,425700462693425,33,,,,
55,801960011511988,34,,,,
56,572003653005720,36,,,,
57,472320013472644,38,,,,
58,691250011090026,40,,,,
59,140144000014014,43,,,,
60,701404020007014,44,,,,
61,745200252432745,46,,,,
62,397570011639923,49,,,,
63,407960087023240,52,,,,
64,370920092499037,55,,,,
65,905970014178389,57,,,,
66,431970071542843,61,,,,
67,126081817200126,63,,,,
68,259700743590259,66,,,,
69,510720010659765,68,,,,
70,315210079885531,72,,,,
71,653250010528506,78,,,,
72,197120078472819,88,,,,
73,837004355508370,94,,,,
74,333600084150033,104,,,,
75,999600590184999,129,,,,
76,256200098161025,254,,,,
